Map ID,Map Name,Team 1,Team 2,Team 1 CT Score,Team 1 T Score,Team 2 CT Score,Team 2 T Score,Winner,Team 1 Players,Team 2 Players
180369,Haven,Gen.G,Sentinels,7,6,3,5,Gen.G,"[['t3xture', 'Jett', '1.60', '305', '24', '12', '4', '+12', '81%', '188', '31%', '3', '4', '-1'], ['Meteor', 'Killjoy', '1.23', '221', '17', '10', '4', '+7', '76%', '140', '26%', '1', '4', '-3'], ['Lakia', 'Skye', '1.06', '185', '15', '12', '4', '+3', '86%', '134', '26%', '2', '1', '+1'], ['Karon', 'Omen', '1.02', '188', '14', '12', '12', '+2', '86%', '119', '42%', '1', '1', '0'], ['Munchkin', 'Viper', '0.70', '145', '9', '15', '7', '-6', '76%', '96', '24%', '3', '1', '+2']]","[['Sacy', 'Sova', '1.28', '245', '19', '15', '5', '+4', '76%', '157', '52%', '2', '1', '+1'], ['TenZ', 'Omen', '1.15', '226', '15', '15', '11', '0', '81%', '146', '16%', '3', '4', '-1'], ['Zellsis', 'Breach', '0.99', '152', '11', '14', '12', '-3', '71%', '95', '38%', '3', '1', '+2'], ['johnqt', 'Cypher', '0.67', '132', '9', '16', '3', '-7', '57%', '93', '50%', '2', '0', '+2'], ['zekken', 'Jett', '0.34', '115', '7', '19', '4', '-12', '48%', '76', '22%', '1', '4', '-3']]"
180370,Ascent,Gen.G,Sentinels,5,8,4,3,Gen.G,"[['Karon', 'Omen', '1.56', '261', '20', '11', '11', '+9', '90%', '158', '27%', '1', '2', '-1'], ['Munchkin', 'Kayo', '1.30', '262', '18', '13', '14', '+5', '90%', '168', '22%', '2', '1', '+1'], ['Meteor', 'Killjoy', '1.28', '233', '18', '10', '2', '+8', '85%', '172', '34%', '2', '2', '0'], ['t3xture', 'Jett', '1.15', '208', '14', '11', '4', '+3', '85%', '129', '28%', '4', '2', '+2'], ['Lakia', 'Sova', '0.43', '96', '6', '13', '2', '-7', '60%', '64', '17%', '2', '2', '0']]","[['Sacy', 'Sova', '1.43', '250', '15', '12', '12', '+3', '80%', '169', '12%', '2', '0', '+2'], ['johnqt', 'Deadlock', '0.82', '125', '10', '14', '4', '-4', '65%', '76', '16%', '0', '0', '0'], ['Zellsis', 'Cypher', '0.69', '131', '10', '16', '3', '-6', '55%', '83', '18%', '3', '3', '0'], ['zekken', 'Jett', '0.66', '176', '12', '17', '3', '-5', '60%', '117', '7%', '2', '5', '-3'], ['TenZ', 'Omen', '0.57', '138', '10', '17', '3', '-7', '65%', '89', '43%', '2', '3', '-1']]"
180372,Abyss,FunPlus Phoenix,Team Heretics,4,8,4,8,Team Heretics,"[['AAAAY', 'Fade', '1.36', '291', '27', '18', '2', '+9', '73%', '197', '40%', '5', '3', '+2'], ['Autumn', 'Viper', '1.05', '214', '19', '18', '9', '+1', '77%', '151', '26%', '0', '1', '-1'], ['BerLIN', 'Omen', '0.94', '154', '15', '15', '6', '0', '69%', '107', '20%', '2', '2', '0'], ['Lysoar', 'Cypher', '0.92', '200', '17', '20', '11', '-3', '65%', '131', '12%', '2', '2', '0'], ['Life', 'Yoru', '0.53', '139', '12', '20', '3', '-8', '62%', '96', '29%', '4', '5', '-1']]","[['RieNs', 'Sova', '1.78', '302', '28', '12', '7', '+16', '69%', '202', '32%', '3', '0', '+3'], ['Wo0t', 'Gekko', '1.27', '268', '25', '18', '8', '+7', '88%', '161', '30%', '4', '2', '+2'], ['benjyfishy', 'Cypher', '0.74', '147', '13', '19', '6', '-6', '69%', '108', '29%', '3', '5', '-2'], ['Boo', 'Astra', '0.67', '157', '16', '21', '7', '-5', '69%', '99', '30%', '0', '1', '-1'], ['MiniBoo', 'Jett', '0.45', '94', '9', '20', '2', '-11', '58%', '74', '22%', '3', '5', '-2']]"
180373,Bind,FunPlus Phoenix,Team Heretics,8,5,5,4,FunPlus Phoenix,"[['Autumn', 'Chamber', '1.31', '209', '17', '11', '5', '+6', '73%', '144', '32%', '6', '4', '+2'], ['Lysoar', 'Viper', '1.19', '234', '17', '15', '12', '+2', '82%', '165', '21%', '2', '0', '+2'], ['Life', 'Yoru', '1.03', '248', '18', '16', '5', '+2', '73%', '157', '28%', '3', '2', '+1'], ['AAAAY', 'Fade', '0.85', '184', '16', '16', '5', '0', '59%', '104', '25%', '1', '0', '+1'], ['BerLIN', 'Omen', '0.78', '122', '10', '14', '10', '-4', '82%', '74', '30%', '1', '3', '-2']]","[['benjyfishy', 'Viper', '1.48', '287', '23', '16', '11', '+7', '73%', '223', '42%', '1', '2', '-1'], ['RieNs', 'Gekko', '1.22', '232', '19', '15', '3', '+4', '64%', '153', '38%', '3', '2', '+1'], ['Boo', 'Brimstone', '0.88', '136', '10', '14', '11', '-4', '64%', '88', '45%', '1', '3', '-2'], ['Wo0t', 'Fade', '0.83', '148', '10', '15', '10', '-5', '77%', '93', '39%', '1', '2', '-1'], ['MiniBoo', 'Raze', '0.51', '127', '10', '18', '3', '-8', '45%', '89', '42%', '3', '4', '-1']]"
180374,Lotus,FunPlus Phoenix,Team Heretics,6,6,6,6,Team Heretics,"[['Autumn', 'Viper', '1.05', '193', '18', '17', '12', '+1', '75%', '120', '34%', '3', '1', '+2'], ['BerLIN', 'Astra', '1.03', '212', '20', '20', '11', '0', '68%', '143', '30%', '5', '1', '+4'], ['AAAAY', 'Gekko', '0.97', '192', '22', '18', '4', '+4', '71%', '122', '37%', '2', '1', '+1'], ['Lysoar', 'Omen', '0.96', '218', '21', '21', '6', '0', '82%', '145', '23%', '1', '1', '0'], ['Life', 'Raze', '0.69', '167', '17', '21', '4', '-4', '57%', '120', '33%', '5', '8', '-3']]","[['RieNs', 'Viper', '1.42', '245', '24', '17', '9', '+7', '75%', '163', '39%', '2', '0', '+2'], ['MiniBoo', 'Raze', '1.08', '245', '21', '22', '9', '-1', '64%', '157', '30%', '7', '7', '0'], ['Boo', 'Fade', '0.98', '222', '21', '21', '11', '0', '79%', '129', '22%', '1', '0', '+1'], ['Wo0t', 'Omen', '0.91', '140', '15', '19', '14', '-4', '75%', '101', '37%', '1', '3', '-2'], ['benjyfishy', 'Killjoy', '0.85', '153', '16', '19', '3', '-3', '64%', '102', '34%', '1', '6', '-5']]"
180357,Haven,DRX,KRU Esports,0,2,10,3,KRU Esports,"[['MaKo', 'Omen', '0.85', '160', '8', '13', '4', '-5', '53%', '106', '16%', '0', '2', '-2'], ['Flashback', 'Cypher', '0.69', '171', '9', '13', '0', '-4', '60%', '101', '21%', '1', '0', '+1'], ['Foxy9', 'Breach', '0.56', '149', '7', '14', '5', '-7', '53%', '98', '33%', '0', '3', '-3'], ['BuZz', 'Jett', '0.45', '181', '7', '15', '3', '-8', '47%', '122', '7%', '1', '4', '-3'], ['BeYN', 'Sova', '0.31', '85', '5', '14', '3', '-9', '47%', '60', '50%', '0', '4', '-4']]","[['Melser', 'Omen', '2.45', '394', '22', '4', '7', '+18', '87%', '247', '29%', '5', '1', '+4'], ['keznit', 'Neon', '1.69', '365', '18', '9', '10', '+9', '87%', '232', '32%', '5', '0', '+5'], ['Shyy', 'Cypher', '1.34', '227', '13', '9', '10', '+4', '80%', '143', '24%', '3', '1', '+2'], ['heat', 'Breach', '1.18', '170', '10', '7', '9', '+3', '93%', '127', '18%', '0', '0', '0'], ['mta', 'Sova', '0.66', '79', '6', '7', '1', '-1', '80%', '50', '36%', '0', '0', '0']]"
180358,Abyss,DRX,KRU Esports,8,5,2,4,DRX,"[['Flashback', 'Cypher', '1.52', '341', '27', '13', '6', '+14', '100%', '221', '32%', '4', '1', '+3'], ['BuZz', 'Jett', '1.09', '228', '13', '12', '7', '+1', '74%', '152', '9%', '4', '2', '+2'], ['BeYN', 'Sova', '1.05', '206', '15', '13', '2', '+2', '58%', '126', '26%', '2', '1', '+1'], ['MaKo', 'Omen', '1.05', '190', '12', '11', '8', '+1', '79%', '124', '26%', '3', '1', '+2'], ['Foxy9', 'Kayo', '0.94', '172', '10', '11', '10', '-1', '68%', '121', '24%', '0', '1', '-1']]","[['mta', 'Kayo', '1.40', '285', '19', '16', '9', '+3', '79%', '209', '33%', '2', '3', '-1'], ['keznit', 'Omen', '1.01', '242', '16', '15', '3', '+1', '58%', '167', '24%', '2', '3', '-1'], ['heat', 'Sova', '0.82', '174', '12', '15', '4', '-3', '68%', '121', '35%', '1', '1', '0'], ['Shyy', 'Cypher', '0.69', '119', '7', '15', '4', '-8', '53%', '86', '20%', '1', '4', '-3'], ['Melser', 'Harbor', '0.55', '109', '6', '16', '6', '-10', '58%', '77', '25%', '0', '2', '-2']]"
180359,Bind,DRX,KRU Esports,9,4,3,3,DRX,"[['BuZz', 'Raze', '1.45', '331', '23', '14', '2', '+9', '79%', '205', '29%', '4', '3', '+1'], ['Foxy9', 'Gekko', '1.29', '249', '19', '12', '5', '+7', '74%', '161', '41%', '2', '3', '-1'], ['Flashback', 'Viper', '1.27', '201', '15', '8', '3', '+7', '84%', '129', '16%', '1', '1', '0'], ['BeYN', 'Fade', '1.26', '217', '15', '9', '5', '+6', '89%', '145', '24%', '2', '0', '+2'], ['MaKo', 'Brimstone', '0.69', '111', '5', '11', '9', '-6', '74%', '82', '24%', '1', '2', '-1']]","[['keznit', 'Raze', '1.01', '225', '14', '16', '3', '-2', '53%', '140', '24%', '4', '2', '+2'], ['Shyy', 'Viper', '0.90', '191', '12', '14', '4', '-2', '53%', '124', '29%', '4', '3', '+1'], ['Melser', 'Brimstone', '0.90', '137', '8', '13', '6', '-5', '68%', '100', '23%', '0', '2', '-2'], ['heat', 'Fade', '0.83', '174', '14', '17', '3', '-3', '63%', '102', '30%', '1', '1', '0'], ['mta', 'Gekko', '0.33', '122', '6', '17', '7', '-11', '68%', '84', '13%', '0', '2', '-2']]"
180354,Bind,FNATIC,Bilibili Gaming,7,6,4,5,FNATIC,"[['Chronicle', 'Viper', '1.39', '251', '19', '14', '8', '+5', '73%', '174', '35%', '4', '2', '+2'], ['Derke', 'Raze', '1.25', '232', '19', '14', '4', '+5', '59%', '152', '19%', '1', '2', '-1'], ['Boaster', 'Astra', '0.95', '151', '10', '13', '10', '-3', '77%', '107', '23%', '2', '1', '+1'], ['Alfajer', 'Gekko', '0.92', '196', '15', '16', '4', '-1', '59%', '133', '31%', '1', '4', '-3'], ['hiro', 'Fade', '0.85', '133', '10', '13', '5', '-3', '64%', '95', '39%', '1', '4', '-3']]","[['whzy', 'Raze', '1.30', '305', '23', '16', '1', '+7', '82%', '191', '26%', '4', '2', '+2'], ['nephh', 'Skye', '1.05', '190', '13', '14', '12', '-1', '68%', '125', '20%', '3', '1', '+2'], ['Knight', 'Cypher', '0.90', '166', '14', '14', '5', '0', '59%', '109', '26%', '1', '1', '0'], ['Flex1n', 'Brimstone', '0.81', '169', '12', '16', '7', '-4', '64%', '114', '41%', '3', '0', '+3'], ['Yosemite', 'Viper', '0.65', '120', '8', '14', '8', '-6', '55%', '90', '20%', '2', '5', '-3']]"
180355,Lotus,FNATIC,Bilibili Gaming,10,3,2,2,FNATIC,"[['hiro', 'Fade', '1.93', '303', '19', '7', '10', '+12', '94%', '195', '42%', '1', '0', '+1'], ['Boaster', 'Omen', '1.36', '181', '13', '6', '8', '+7', '94%', '115', '42%', '1', '2', '-1'], ['Chronicle', 'Viper', '1.27', '236', '16', '9', '2', '+7', '76%', '141', '20%', '4', '0', '+4'], ['Derke', 'Raze', '1.13', '222', '14', '10', '4', '+4', '76%', '144', '10%', '5', '2', '+3'], ['Alfajer', 'Killjoy', '0.74', '185', '11', '13', '5', '-2', '82%', '133', '33%', '2', '0', '+2']]","[['nephh', 'Fade', '0.88', '208', '13', '15', '1', '-2', '53%', '119', '24%', '0', '2', '-2'], ['whzy', 'Neon', '0.76', '213', '12', '15', '4', '-3', '65%', '124', '14%', '2', '6', '-4'], ['Knight', 'Breach', '0.73', '140', '8', '15', '8', '-7', '71%', '95', '32%', '1', '2', '-1'], ['Yosemite', 'Cypher', '0.63', '115', '6', '14', '3', '-8', '59%', '75', '33%', '1', '1', '0'], ['Flex1n', 'Omen', '0.49', '108', '6', '14', '6', '-8', '71%', '71', '24%', '0', '2', '-2']]"
180384,Bind,LEVIATAN,Talon Esports,7,6,6,5,LEVIATAN,"[['kiNgg', 'Brimstone', '1.56', '264', '25', '15', '7', '+10', '67%', '163', '25%', '3', '2', '+1'], ['aspas', 'Raze', '1.25', '272', '21', '19', '7', '+2', '63%', '183', '33%', '6', '3', '+3'], ['C0M', 'Viper', '0.93', '159', '12', '14', '8', '-2', '63%', '103', '34%', '1', '4', '-3'], ['Mazino', 'Skye', '0.63', '117', '9', '17', '9', '-8', '79%', '88', '30%', '0', '0', '0'], ['tex', 'Gekko', '0.47', '112', '9', '19', '5', '-10', '58%', '80', '24%', '1', '4', '-3']]","[['ban', 'Skye', '1.32', '190', '18', '12', '10', '+6', '79%', '122', '38%', '0', '0', '0'], ['primmie', 'Yoru', '1.15', '222', '18', '14', '10', '+4', '79%', '138', '35%', '2', '2', '0'], ['Governor', 'Neon', '1.11', '250', '20', '17', '6', '+3', '71%', '157', '22%', '5', '4', '+1'], ['JitBoyS', 'Viper', '1.05', '220', '18', '17', '2', '+1', '75%', '143', '47%', '6', '1', '+5'], ['Crws', 'Omen', '0.59', '125', '10', '16', '7', '-6', '63%', '94', '15%', '0', '4', '-4']]"
180385,Ascent,LEVIATAN,Talon Esports,8,5,4,4,LEVIATAN,"[['aspas', 'Jett', '1.44', '215', '16', '10', '3', '+6', '90%', '141', '22%', '5', '0', '+5'], ['tex', 'Cypher', '1.30', '239', '19', '13', '6', '+6', '62%', '160', '39%', '2', '2', '0'], ['kiNgg', 'Omen', '1.24', '196', '16', '9', '8', '+7', '90%', '121', '39%', '2', '1', '+1'], ['C0M', 'Sova', '1.12', '251', '13', '14', '7', '-1', '81%', '188', '8%', '3', '2', '+1'], ['Mazino', 'Deadlock', '1.03', '186', '15', '14', '2', '+1', '76%', '123', '31%', '2', '2', '0']]","[['primmie', 'Sage', '1.44', '277', '22', '13', '5', '+9', '76%', '161', '43%', '1', '1', '0'], ['ban', 'Phoenix', '0.71', '130', '10', '14', '2', '-4', '62%', '78', '35%', '3', '3', '0'], ['JitBoyS', 'Clove', '0.61', '165', '10', '18', '6', '-8', '67%', '104', '28%', '2', '5', '-3'], ['Governor', 'Sova', '0.58', '138', '8', '16', '7', '-8', '57%', '91', '13%', '0', '1', '-1'], ['Crws', 'Kayo', '0.41', '134', '10', '18', '3', '-8', '57%', '91', '9%', '1', '4', '-3']]"
180387,Ascent,Team Vitality,Trace Esports,5,7,5,7,Trace Esports,"[['trexx', 'Sova', '1.52', '271', '26', '17', '10', '+9', '64%', '182', '28%', '3', '2', '+1'], ['runneR', 'Killjoy', '0.93', '233', '21', '24', '2', '-3', '64%', '157', '25%', '4', '4', '0'], ['ceNder', 'Omen', '0.90', '152', '15', '20', '10', '-5', '57%', '107', '32%', '1', '6', '-5'], ['Sayf', 'Jett', '0.87', '153', '16', '20', '5', '-4', '64%', '106', '31%', '3', '5', '-2'], ['Kicks', 'Kayo', '0.71', '103', '8', '20', '15', '-12', '50%', '79', '16%', '0', '0', '0']]","[['LuoK1ng', 'Omen', '1.35', '265', '27', '17', '9', '+10', '75%', '171', '43%', '3', '2', '+1'], ['Kai', 'Jett', '1.21', '241', '25', '18', '2', '+7', '68%', '165', '26%', '5', '4', '+1'], ['Biank', 'Sova', '0.90', '192', '18', '17', '9', '+1', '64%', '125', '15%', '3', '1', '+2'], ['FengF', 'Killjoy', '0.86', '170', '19', '17', '3', '+2', '61%', '122', '35%', '4', '4', '0'], ['heybay', 'Kayo', '0.69', '120', '12', '17', '8', '-5', '75%', '77', '28%', '2', '0', '+2']]"
180388,Sunset,Team Vitality,Trace Esports,8,5,3,4,Team Vitality,"[['trexx', 'Sova', '1.97', '312', '24', '8', '9', '+16', '85%', '218', '33%', '1', '0', '+1'], ['ceNder', 'Omen', '1.16', '165', '14', '12', '6', '+2', '75%', '106', '26%', '3', '1', '+2'], ['Sayf', 'Neon', '1.09', '202', '13', '13', '10', '0', '80%', '148', '31%', '2', '2', '0'], ['runneR', 'Cypher', '1.09', '211', '15', '13', '5', '+2', '65%', '135', '22%', '5', '2', '+3'], ['Kicks', 'Kayo', '1.09', '160', '8', '11', '19', '-3', '80%', '107', '16%', '2', '2', '0']]","[['LuoK1ng', 'Omen', '1.04', '234', '16', '15', '4', '+1', '80%', '154', '25%', '2', '1', '+1'], ['Kai', 'Cypher', '0.82', '177', '13', '14', '4', '-1', '60%', '119', '39%', '1', '2', '-1'], ['FengF', 'Raze', '0.73', '176', '12', '15', '1', '-3', '55%', '109', '16%', '2', '4', '-2'], ['Biank', 'Sova', '0.69', '152', '10', '15', '5', '-5', '50%', '106', '19%', '2', '5', '-3'], ['heybay', 'Breach', '0.55', '102', '5', '15', '9', '-10', '75%', '72', '22%', '0', '1', '-1']]"
180389,Bind,Team Vitality,Trace Esports,1,6,6,7,Trace Esports,"[['trexx', 'Fade', '0.81', '172', '11', '14', '3', '-3', '65%', '115', '18%', '4', '1', '+3'], ['Sayf', 'Raze', '0.75', '210', '13', '17', '4', '-4', '65%', '151', '28%', '2', '4', '-2'], ['Kicks', 'Gekko', '0.72', '174', '13', '16', '2', '-3', '70%', '107', '11%', '0', '4', '-4'], ['runneR', 'Viper', '0.70', '164', '9', '16', '11', '-7', '65%', '117', '14%', '1', '3', '-2'], ['ceNder', 'Omen', '0.63', '129', '12', '16', '3', '-4', '60%', '79', '33%', '0', '1', '-1']]","[['heybay', 'Deadlock', '1.59', '256', '20', '12', '11', '+8', '95%', '168', '26%', '2', '1', '+1'], ['LuoK1ng', 'Brimstone', '1.32', '260', '21', '12', '6', '+9', '85%', '158', '39%', '1', '0', '+1'], ['FengF', 'Raze', '1.15', '204', '15', '10', '0', '+5', '80%', '128', '31%', '5', '1', '+4'], ['Kai', 'Cypher', '1.13', '191', '13', '12', '6', '+1', '75%', '131', '33%', '3', '2', '+1'], ['Biank', 'Skye', '0.94', '162', '10', '13', '10', '-3', '80%', '111', '18%', '2', '3', '-1']]"
