Team,Players
LEVIATAN,"['C0M', 'tex', 'Mazino', 'aspas', 'kiNgg']"
G2 Esports,"['valyn', 'JonahP', 'leaf', 'icy', 'trent']"
KRU Esports,"['Melser', 'keznit', 'heat', 'Shyy', 'mta']"
Sentinels,"['TenZ', 'Sacy', 'Zellsis', 'johnqt', 'zekken']"
FNATIC,"['Boaster', 'Chronicle', 'Derke', 'Alfajer', 'hiro']"
Team Vitality,"['Sayf', 'trexx', 'ceNder', 'Kicks', 'runneR']"
Team Heretics,"['Boo', 'RieNs', 'MiniBoo', 'Wo0t', 'benjyfishy']"
FUT Esports,"['cNed', 'qRaxs', 'AtaKaptan', 'MrFaliN', 'yetujey']"
Gen.G,"['Lakia', 'Munchkin', 't3xture', 'Meteor', 'Karon']"
DRX,"['BuZz', 'MaKo', 'BeYN', 'Foxy9', 'Flashback']"
Paper Rex,"['Jinggg', 'mindfreak', 'f0rsakeN', 'd4v41', 'something']"
Talon Esports,"['Crws', 'Governor', 'ban', 'JitBoyS', 'primmie']"
EDward Gaming,"['nobody', 'ZmjjKK', 'Smoggy', 'S1Mon', 'CHICHOO']"
FunPlus Phoenix,"['Autumn', 'Life', 'BerLIN', 'AAAAY', 'Lysoar']"
Trace Esports,"['Biank', 'LuoK1ng', 'heybay', 'FengF', 'Kai']"
Bilibili Gaming,"['Flex1n', 'Knight', 'whzy', 'Yosemite', 'nephh']"
